Amber,Family,Genus,Species,Author/Determiner,,,
Burmese,Chthoniidae,Weygoldtiella,plauses,"Harvey et al., 2018",,,
Burmese,Feaellidae,Protofeaella,peetersae,"Henderickx in Henderickx & Boone, 2016",,,
Burmese,Garypinidae,Amblyolpium,burmiticum,"Cockerell, 1920",,,
Burmese,Cheiridiidae,Electrobisium,acutum,"Cockerell, 1917",,,
Archingeay,Cheliferidae?,indet. ,indet. ,"Judson, 2009",,,
Archingeay,Cheliferidae?,Heurtaultia,indet,"Judson, 2009",,,
Archingeay,Cheliferidae?,Heurtaultia,rossiorum,"Judson, 2009",,,
Canadian,Chernetidae,indet. ,indet. ,"Schawaller, 1991",,,
Lebanese,indet. ,indet. ,indet. ,"Mentioned by Whalley, 1980",,,
New Jersey,indet. ,indet. ,indet. ,"Mentioned by Grimaldi et al., 2002",,,
